Año,Periodo,Cifras de población(millones)
1950,Año,51000000
1951,Año,52000000
1952,Año,54000000
1953,Año,55000000
1954,Año,57000000
1955,Año,58000000
1956,Año,59000000
1957,Año,62000000
1958,Año,66000000
1959,Año,67000000
1960,Año,70000000
1961,Año,73000000
1962,Año,74000000
1963,Año,76000000
1964,Año,77000000
1965,Año,79000000
1966,Año,82000000
1967,Año,84000000
1968,Año,87000000
1969,Año,90000000
1970,Año,94000000
1971,Año,99000000
1972,Año,100000000
1973,Año,102000000
1974,Año,104000000
1975,Año,106000000
1976,Año,110000000
1977,Año,115000000
1978,Año,116000000
1979,Año,119000000
1980,Año,121000000
1981,Año,124000000
1982,Año,126000000
1983,Año,128000000
1984,Año,130000000
1985,Año,132000000
1986,Año,134000000
1987,Año,137000000
1988,Año,139000000
1989,Año,142000000
1990,Año,143000000
1991,Año,146000000
1992,Año,148000000
1993,Año,150000000
1994,Año,152000000
1995,Año,153000000
1996,Año,157000000
1997,Año,159000000
1998,Año,162000000
1999,Año,165000000
2000,Año,169000000
2001,Año,171000000
2002,Año,173000000
2003,Año,174000000
2004,Año,176000000
2005,Año,179000000
2006,Año,181000000
2007,Año,183000000
2008,Año,185000000
2009,Año,187000000
2010,Año,190000000
2011,Año,191000000
2012,Año,193000000
2013,Año,194000000
2014,Año,195000000
2015,Año,196000000
2016,Año,197000000
2017,Año,198000000
2018,Año,199000000
2019,Año,201000000
2020,Año,202000000
2021,Año,203000000